Date,Close,High,Low,Open,Volume
2019-04-08,1702.4228515625,1705.9168982215078,1671.140817213559,1692.7628402111252,2194294
2019-04-09,1719.482177734375,1724.8260142896097,1691.6530409261081,1701.8064106670602,2690970
2019-04-10,1677.3477783203125,1714.5490953005815,1673.8537319740992,1712.4937739204563,3313062
2019-04-11,1660.2886962890625,1689.474261388474,1655.479264083616,1681.2529754449777,3422442
2019-04-12,1656.1781005859375,1676.320251722376,1650.0121359523337,1675.4981231045622,3198471
2019-04-15,1737.4041748046875,1742.7480099796749,1677.964244946065,1701.8059711113938,9189201
2019-04-16,1752.61328125,1772.4676008949468,1739.2536953751578,1742.9121264409744,5771952
2019-04-18,1767.6180419921875,1771.6875393525654,1738.144644636201,1767.4946022448812,3413728
2019-04-22,1776.9896240234375,1788.9516339615323,1763.9590075965864,1765.9320357304096,2007135
2019-04-23,1771.7281494140625,1780.319352509917,1754.4634500824031,1778.2640311609098,2163524
2019-04-24,1795.07666015625,1804.5722856748953,1772.5915632671545,1774.153527328667,3003071
2019-04-25,1804.572021484375,1812.7933063202947,1782.4156989945639,1788.1294518125358,4211526
2019-04-26,1840.3758544921875,1844.8152682525613,1803.0510989326715,1811.1491452106372,2716958
2019-04-30,1858.29833984375,1863.724267820135,1833.428951319131,1840.3758973921038,3488395
2019-05-02,1821.3438720703125,1857.517535473616,1817.8088791733678,1853.9002494192928,2457699
2019-05-03,1752.778076171875,1797.2141646343314,1747.0231762970143,1796.3508895101065,3780886
2019-05-06,1774.030029296875,1779.9081676708656,1733.4579083298015,1734.6911010556705,2891422
2019-05-07,1769.1795654296875,1795.8166519687445,1758.3686548407636,1775.8388872431983,2201698
2019-05-08,1769.9195556640625,1782.3747230971298,1751.4626088681246,1768.398537537789,1824895
2019-05-09,1786.1158447265625,1795.6114718723709,1756.1492921204615,1763.466157663451,2264162
2019-05-10,1755.902587890625,1802.1061825371216,1747.7224471411823,1788.129994077664,2039633
2019-05-13,1750.1060791015625,1781.5524948505395,1744.2688863497515,1753.6001252958933,1701744
2019-05-14,1720.180908203125,1775.6334437969815,1703.7383357088756,1755.2446137611132,2456110
2019-05-15,1722.6881103515625,1746.2010675356337,1713.7269893022733,1724.0035963381467,2346876
2019-05-16,1733.6634521484375,1746.2009116127,1707.6020191755533,1723.1813139078245,1946529
2019-05-17,1722.7291259765625,1755.2443483095524,1718.2485657924892,1736.828750187045,1947908
2019-05-20,1762.60205078125,1768.7268668976849,1685.3631317869747,1747.0227585596688,2625116
2019-05-21,1734.4859619140625,1766.5078334746054,1728.5666756317619,1765.973530124991,1863157
2019-05-22,1711.4661865234375,1744.5157155881943,1705.916818559449,1734.6913191134638,2595795
2019-05-23,1688.6937255859375,1739.0902618793082,1685.3640637559965,1724.8262467122345,2541294
2019-05-24,1683.719482421875,1701.8063127994537,1670.7709561288357,1701.8063127994537,2274208
2019-05-27,1689.59716796875,1700.9425804815985,1677.2241952726279,1689.30954344631,2329820
2019-05-28,1704.8890380859375,1724.414590661967,1681.252842862323,1693.5847708050783,5872979
2019-05-29,1732.67724609375,1745.9545432726288,1707.6434692828457,1710.027562040075,3281320
2019-05-30,1764.53466796875,1772.9614861839175,1738.3086449969412,1745.379031297615,4971725
2019-05-31,1805.846923828125,1812.7527249574962,1769.4265805063849,1775.7980782408138,4265370
2019-06-03,1843.4591064453125,1847.8573742804676,1796.8853981351065,1809.5051531603217,3682419
2019-06-04,1809.313232421875,1843.2103196854207,1802.600020375805,1843.2103196854207,2408658
2019-06-06,1795.2242431640625,1822.4910820092002,1783.5383394651199,1822.4910820092002,3735467
2019-06-07,1808.1943359375,1814.8660685810366,1775.3332249768291,1801.771278252836,2659446
2019-06-10,1849.4263916015625,1853.0316729869594,1811.3024328233096,1820.5847475362445,2080593
2019-06-11,1867.079345703125,1876.320180185285,1849.011865225448,1853.9845551364085,3048937
2019-06-12,1873.7923583984375,1878.765048316614,1839.0664880722145,1860.6148110509785,2404448
2019-06-13,1868.156494140625,1893.7657620217672,1858.9984179308342,1876.3613502044993,3320916
2019-06-14,1868.4884033203125,1875.6160071074605,1851.4983779186418,1870.767553069317,2131408
2019-06-17,1864.0958251953125,1874.7042717989023,1857.6727667928185,1869.731581422778,1489497
2019-06-18,1865.463623046875,1873.046895693272,1849.1779390325048,1859.7863866972134,1877447
2019-06-19,1872.9635009765625,1886.3069659862476,1859.0814088499062,1868.9025519767083,1652817
2019-06-20,1887.9229736328125,1892.9371426966857,1833.2648684960898,1848.1829370462387,2199377
2019-06-21,1864.6346435546875,1899.9821031642084,1858.1286260825104,1893.7662402312828,3871804
2019-06-24,1885.8929443359375,1889.622462353741,1865.4220747949657,1868.1983723601936,1382424
2019-06-25,1879.5108642578125,1885.0221807020423,1865.172902786538,1881.3341432239242,1386077
2019-06-26,1868.2392578125,1878.6819858772574,1864.7584159039934,1877.1901386766867,1762224
2019-06-27,1866.872314453125,1876.3618247331449,1857.5485200501887,1868.9027892107956,2813464
2019-06-28,1845.8621826171875,1874.662340776403,1841.966949895156,1873.046257261216,2372928
2019-07-01,1856.097900390625,1868.9025358334723,1828.7895867317752,1852.3269035866122,2769940
2019-07-02,1866.499267578125,1870.5602167985132,1836.953079834788,1860.5318777222358,1771746
2019-07-03,1854.5230712890625,1872.0519235797328,1849.8405361721793,1866.5818840693269,1656881
2019-07-04,1858.66748046875,1866.4166714747635,1848.2664304276745,1851.4985986121765,984140
2019-07-05,1792.738037109375,1864.7590963851478,1773.5930961174295,1862.272750923301,4088470
2019-07-08,1802.931640625,1814.037436878673,1767.0455546599007,1781.0518845426006,2788062
