Date,Close,High,Low,Open,Volume
2012-01-02,32.511009216308594,32.59228671730143,32.039597946715475,32.39721983300129,1861469
2012-01-03,32.80360794067383,32.949907004190266,32.51100981364097,32.624796994245585,3372939
2012-01-04,32.99866485595703,33.258751021476854,32.29967722294259,32.77108615393814,3739279
2012-01-05,32.93365478515625,33.242511093347765,32.72233413672443,32.98242261503609,5389056
2012-01-06,32.42974090576172,32.933659790891056,32.13714049638984,32.90115010415681,7340405
2012-01-09,32.966163635253906,33.09620676003476,32.21841015578048,32.21841015578048,2368495
2012-01-10,33.356292724609375,33.583869278385805,32.85237179530878,32.85237179530878,3215986
2012-01-11,32.576026916503906,33.38880183013391,32.478493485909695,33.38880183013391,4377469
2012-01-12,32.689815521240234,32.966159885962234,32.332195866368814,32.966159885962234,4082544
2012-01-13,33.14497756958008,33.226255081084155,32.67356844381513,32.70607812554059,5766505
2012-01-16,32.559783935546875,33.14498254721879,32.429740779528196,32.7711046152757,4899595
2012-01-17,32.673561096191406,32.917393575870655,32.54351578415328,32.673561096191406,10428799
2012-01-18,32.21841049194336,32.91739835811546,31.958322034874517,32.787353027184324,6295415
2012-01-19,32.49475860595703,32.90114617758961,32.21841417532941,32.364713260158396,8276461
2012-01-20,32.982421875,33.22625440454745,32.47850087297657,32.51101275883365,6881600
2012-01-23,32.836124420166016,33.56762204494058,32.722335018839175,33.16123447562138,18551268
2012-01-24,32.689815521240234,32.99867176585653,32.52726053135509,32.7710930161828,10219894
2012-01-25,32.7873420715332,32.9986648368868,32.364698745618696,32.868619549409345,13171474
2012-01-27,33.53511047363281,34.12030901992821,32.88489035659209,32.99867975899169,9816649
2012-01-30,33.079959869384766,33.64890251643996,32.91740482736899,33.16123739039265,4243234
2012-01-31,33.843963623046875,34.071540216561964,33.03118849992611,33.16123384250161,10322025
2012-02-01,33.4700927734375,33.94150197184801,33.37255930364368,33.94150197184801,10757718
2012-02-02,34.169071197509766,34.477925280967355,33.37255207550015,33.55136303059459,11556658
2012-02-03,34.7705192565918,35.2094185927943,34.25034242885498,34.31536398112382,11926606
2012-02-06,35.437007904052734,35.59956294572648,34.57546486030555,35.01436435474222,9084488
2012-02-07,35.030609130859375,35.843384080086444,34.73801103105489,35.599551595318324,6079363
2012-02-08,35.01435089111328,36.005936704999876,34.51043001473226,35.30695117649243,11508450
2012-02-09,35.37197494506836,35.92466146793687,35.07937464134281,35.77836241847067,11499785
2012-02-10,34.90057373046875,35.518281946416366,34.46167427901558,34.91682746920923,8590813
2012-02-13,35.91598129272461,36.19440057890614,34.83506236349035,34.83506236349035,15608851
2012-02-14,35.8340950012207,36.112514298843145,35.621187694578495,35.86685099671082,5735198
2012-02-15,36.25990295410156,37.04602666117514,35.801332457652464,35.866842211238435,15930040
2012-02-16,36.25990295410156,36.767607431750626,35.78495446391914,36.12888344692963,3862429
2012-02-17,36.58745193481445,37.1770441274156,36.35816669917712,36.68571767047251,8544515
2012-02-21,36.21076965332031,36.68571812329157,36.11250391644934,36.538320628658724,6934289
2012-02-22,36.01423645019531,36.91500158912174,35.93234871029291,36.14525816684743,5872252
2012-02-23,36.898624420166016,37.37357509927489,35.899595748143746,35.899595748143746,18016976
2012-02-24,37.439090728759766,37.73389021693526,36.94776639340862,37.02965415285842,10958004
2012-02-27,36.538330078125,37.66838079102444,36.390932545372515,37.66838079102444,11266052
2012-02-28,36.620216369628906,37.14429671181089,36.27628732614678,36.68572613473319,9416477
2012-02-29,37.01327896118164,37.30807402899837,36.685727898564025,36.767615664218425,7991077
2012-03-01,36.84949493408203,37.209801908430386,36.52194394698254,36.636587681006276,2777389
2012-03-02,36.76760482788086,37.01326805244094,36.45643185437419,36.80036081302773,3172662
2012-03-05,36.128875732421875,36.80035556133012,35.752190842377324,36.65295587055144,3649302
2012-03-06,36.37454605102539,36.62020928867532,35.89959756917164,36.128882813375455,4557989
2012-03-07,35.572052001953125,36.12888831447587,34.98245969755062,36.030622560184185,15488701
2012-03-09,36.079750061035156,36.276281546383096,35.735823293697294,35.735823293697294,3852720
2012-03-12,36.30902862548828,36.63657953980098,35.981477711175586,36.358160374096464,5124092
2012-03-13,36.47280502319336,36.73484398432345,36.030610388929325,36.47280502319336,9731037
2012-03-14,36.88225555419922,37.144294599716325,36.538326530273544,36.7676118057748,4398722
2012-03-15,36.145267486572266,37.11154262229634,35.94873597159381,36.78399157823071,4513645
2012-03-16,35.31000900268555,36.68572283139109,35.12985549885979,36.194396305328574,3682825
2012-03-19,35.32638168334961,35.5229109314004,34.523880034430576,35.44102318937578,3294232
2012-03-20,35.19536590576172,35.63756067589465,34.884192877798476,35.326387647931405,3413743
2012-03-21,35.621185302734375,35.83409259508056,34.94970521105744,35.17899050004896,3430274
2012-03-22,34.80229949951172,35.60479893293265,34.4911243004724,35.37551369786198,3948023
2012-03-23,35.277244567871094,35.441020037354626,34.622142689936965,34.91693764646853,3647743
2012-03-26,34.70403289794922,35.21173733380039,34.474747668601076,35.04796185264499,4778733
2012-03-27,34.63852310180664,35.09709355986812,34.32734791096443,35.04796180412836,5834802
2012-03-28,34.78593063354492,35.01521592877345,34.47475757420993,34.802308630635764,4875221
2012-03-29,34.6548957824707,34.884183212401865,34.39285681342983,34.78591748833807,12199593
2012-03-30,35.424644470214844,35.81770740094985,34.654898822430425,34.654898822430425,8544753
2012-04-02,35.572052001953125,35.81771527700854,35.26087674313818,35.408276485249516,8676278
